calle,calle_proper,plazas_pmr,plazas_total,metros_pmr,zonas_cyd,nplazas_cyd,metros_cyd,plazas_ora,tipo_ora,ubicacion_ora,latitude,longitude
"SANTA CRUZ, CALLE",Calle Santa Cruz,0,0,0.00,1,0,19.90,0,Ninguno,Ninguna,,
"SANTA ESCOLASTICA, CALLE",Calle Santa Escolástica,1,2,13.00,0,0,0.00,0,Ninguno,Ninguna,,
"SANTA JULIANA, CAMINO, DE",Camino de Santa Juliana,1,2,8.30,0,0,0.00,0,Ninguno,Ninguna,,
"SANTA LUCIA, CALLE",Calle Santa Lucía,1,2,10.00,0,0,0.00,0,Ninguno,Ninguna,,
"SANTA MICAELA, CALLE",Calle Santa Micaela,1,1,7.00,0,0,0.00,0,Ninguno,Ninguna,,
"SANTA RITA, CALLE",Calle Santa Rita,0,0,0.00,1,0,15.60,0,Ninguno,Ninguna,,
"SANTA ROSALIA, CALLE",Calle Santa Rosalía,3,3,18.80,0,0,0.00,0,Ninguno,Ninguna,,
"SANTANDER, CALLE",Calle Santander,2,2,11.50,0,0,0.00,0,Ninguno,Ninguna,,
"SANTIAGO, CALLE",Calle Santiago,2,4,22.00,1,0,13.80,0,Ninguno,Ninguna,,
"SANTISTEBAN MARQUEZ, CALLE",Calle Santisteban Márquez,1,2,11.30,1,0,15.30,0,Ninguno,Ninguna,,
"SANTO SEPULCRO DE LA QUINTA, CALLE",Calle Santo Sepulcro de la Quinta,1,1,5.80,0,0,0.00,0,Ninguno,Ninguna,,
"SANTO TOMAS DE VILLANUEVA, CALLE",Calle Santo Tomás de Villanueva,2,3,14.90,1,0,15.00,0,Ninguno,Ninguna,,
CALLE SEMINARIO,Calle Seminario,0,0,0.00,0,0,0.00,11,Roja,Toda la calle,,
"SENECA, CALLE",Calle Séneca,0,0,0.00,1,0,12.60,0,Ninguno,Ninguna,,
"SIERRA (LANCHA), CARRETERA, DE LA",Carretera de la Sierra (Lancha),1,1,4.20,0,0,0.00,0,Ninguno,Ninguna,,
"SIERRA, CARRETERA, DE LA",Carretera de la Sierra,5,8,45.90,6,0,100.70,0,Ninguno,Ninguna,,
"SOCRATES, CALLE",Calle Sócrates,0,0,0.00,3,0,42.70,22,Azul,Toda la calle,,
"SOL, CALLE",Calle Sol,0,0,0.00,2,2,31.50,79,Azul,Toda la calle,,
"SOL Y LUNA, CALLE",Calle Sol y Luna,2,2,12.60,0,0,0.00,0,Ninguno,Ninguna,,
"SOLARILLO DE GRACIA, CALLE",Calle Solarillo de Gracia,0,0,0.00,3,0,38.70,9,Roja,Toda la calle,,
"SOMOSIERRA, CALLE",Calle Somosierra,1,2,12.10,0,0,0.00,0,Ninguno,Ninguna,,
"SOS DEL REY CATOLICO, CALLE",Calle Sos del Rey Católico,2,3,17.10,0,0,0.00,0,Ninguno,Ninguna,,
"SULTAN MOHAMED V, CALLE",Calle Sultán Mohamed V,1,3,7.20,0,0,0.00,0,Ninguno,Ninguna,,
"SUR, AVENIDA, DEL",Avenida del Sur,0,0,0.00,1,0,22.20,0,Ninguno,Ninguna,,
"TABACO, PLAZA, DEL",Plaza del Tabaco,1,1,5.30,0,0,0.00,0,Ninguno,Ninguna,,
"TABLAS DE DAIMIEL, CALLE",Calle Tablas de Daimiel,1,3,18.10,0,0,0.00,0,Ninguno,Ninguna,,
"TEJEIRO, CALLE",Calle Tejeiro,1,4,15.70,4,0,94.83,50,Azul,Toda la calle,,
"TETUAN, CALLE",Calle Tetuán,1,1,4.80,0,0,0.00,0,Ninguno,Ninguna,,
"TINAJILLA, CALLE",Calle Tinajilla,0,0,0.00,2,0,36.70,0,Ninguno,Ninguna,,
"TIRSO DE MOLINA, CALLE",Calle Tirso de Molina,1,1,3.10,0,0,0.00,0,Ninguno,Ninguna,,
"TOLEDO, CALLE",Calle Toledo,2,2,11.72,0,0,0.00,0,Ninguno,Ninguna,,
"TORRE DE COMARES, CALLE",Calle Torre de Comares,2,5,24.50,1,6,24.00,0,Ninguno,Ninguna,,
"TORRE DE LA POLVORA, CALLE",Calle Torre de la Pólvora,1,2,6.40,1,0,21.70,0,Ninguno,Ninguna,,
"TORRE DE LAS ROCAS, CALLE",Calle Torre de las Rocas,0,0,0.00,1,0,16.60,0,Ninguno,Ninguna,,
"TORRE DE LOS HIDALGOS, CALLE",Calle Torre de los Hidalgos,0,0,0.00,1,0,16.00,0,Ninguno,Ninguna,,
"TORRE DE LOS PICOS, CALLE",Calle Torre de los Picos,1,2,10.40,0,0,0.00,0,Ninguno,Ninguna,,
"TORRE DE MACHUCA, CALLE",Calle Torre de Machuca,1,1,6.10,0,0,0.00,0,Ninguno,Ninguna,,
"TORRE DEL CAPITAN, CALLE",Calle Torre del Capitán,1,1,6.75,0,0,0.00,0,Ninguno,Ninguna,,
